,an adversary,an attacker,this attack,the attacker,the adversary,such as,in order to,this type of,does not,operating system,sensitive information,the victim,attempt to,information about,attack pattern,result in,differs from,this type of attack,target system,an adversary exploits,the purpose of,arbitrary code,adversary uses,this attack pattern,operating systems,as well as,a weakness in,based on,denial of service,denial of,attempts to,closed port,this attack differs from,web server,rather than,for instance,access control,error message,buffer overflow,web application,web service,target application,web browser,engages in,social engineering,gain access to,execute arbitrary,rely on,legitimate users,an adversary engages in,the target software,weaknesses in,this attack targets,takes advantage of,lead to,a large number of,execute arbitrary code,accomplished by,os fingerprinting,input validation,web services,flooding attack,ip address,malicious code,malicious content,malicious script,variety of,obtain sensitive,take advantage of,a buffer overflow,interacting with,depending on,this os fingerprinting probe,this type exploits,remote host,service provider,an open port,relies on,unauthorized access,this pattern of attack,malicious application,error messages,closed ports,the service provider,supply chain,http request,icmp error message,http get,sql injection,client side,vulnerable web,sequence number,malicious logic,domain name,brute force,cross site,cross domain,third party,credential prompt,icmp type,man in,the middle,cross site scripting,rfc 793,victim's browser,the victim's browser
an adversary,236,11,38,21,94,34,22,37,24,24,28,16,22,19,9,22,12,20,20,32,14,8,23,7,8,12,15,11,6,6,10,13,8,6,7,3,9,9,1,8,6,5,6,16,13,5,2,4,11,16,2,7,1,9,7,8,1,9,2,6,4,10,7,3,2,6,6,8,4,0,8,6,0,1,3,3,6,1,2,10,8,4,6,3,8,2,3,3,0,1,4,0,7,5,2,1,1,2,2,2,0,0,0,0,0,0
an attacker,11,197,61,82,6,47,33,11,24,12,13,22,8,7,14,9,10,6,4,1,16,6,4,8,6,8,10,11,7,7,6,5,6,7,13,10,9,3,12,9,3,10,7,1,4,12,4,9,1,0,7,9,10,5,7,3,3,4,3,7,3,1,2,8,3,2,3,1,7,6,3,1,3,5,4,2,2,5,7,1,1,1,2,1,5,1,2,2,8,2,0,1,1,1,1,2,2,1,0,0,2,2,1,0,0,0
this attack,38,61,135,65,29,37,24,9,14,2,13,14,12,7,24,6,17,3,4,1,8,8,3,21,0,8,5,8,7,7,6,0,14,6,6,9,6,2,6,3,8,7,5,0,3,6,5,5,7,0,7,6,16,10,3,7,4,3,0,4,6,6,3,3,5,3,3,3,6,6,3,2,0,5,1,4,0,8,3,1,2,1,0,3,0,2,0,4,3,4,1,0,0,0,2,1,2,0,1,0,1,1,0,0,0,0
the attacker,21,82,65,141,7,31,27,16,16,9,8,19,7,8,11,6,7,9,7,1,8,7,4,9,5,8,4,9,4,4,6,5,5,5,7,9,6,6,8,4,4,5,6,1,3,8,4,9,2,0,7,5,10,4,6,4,3,1,1,5,2,1,3,5,6,0,3,1,5,4,2,1,1,4,0,3,0,6,4,1,1,4,1,2,2,2,3,3,3,2,0,0,0,1,2,2,2,1,0,0,2,2,1,0,0,0
the adversary,94,6,29,7,131,20,9,16,14,9,15,11,15,15,9,8,7,9,14,16,8,4,12,7,2,5,7,7,3,3,6,4,7,3,5,3,3,3,0,2,1,3,4,5,11,3,3,1,4,5,4,2,1,4,5,4,3,3,0,1,0,4,6,1,1,3,5,5,1,0,4,4,0,2,2,0,2,3,0,5,3,2,2,0,0,1,0,0,1,2,1,0,2,1,2,1,1,1,2,2,1,0,0,0,0,0
such as,34,47,37,31,20,98,13,9,8,10,2,8,8,5,5,7,7,3,5,3,6,7,4,3,5,7,2,3,1,1,4,2,4,4,3,5,5,1,3,7,4,5,3,6,2,6,4,4,2,5,3,1,4,2,5,1,3,2,2,5,4,3,3,4,2,4,6,1,3,2,2,1,1,5,3,2,0,3,4,3,0,1,1,1,3,3,1,3,1,3,2,2,2,2,1,1,0,0,0,1,0,0,1,0,0,0
in order to,22,33,24,27,9,13,59,6,4,7,8,6,1,4,4,7,6,3,5,3,4,4,2,3,3,3,7,8,2,2,2,2,3,3,2,4,4,3,3,2,1,2,6,3,1,1,4,2,3,3,2,2,4,2,0,0,3,0,2,2,1,0,2,1,3,0,1,0,7,2,1,2,1,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
this type of,37,11,9,16,16,9,6,55,4,9,7,4,4,5,1,6,1,30,4,0,4,2,5,0,5,5,1,1,3,3,4,5,1,3,2,3,1,4,3,7,3,2,1,3,0,0,1,3,2,3,2,3,2,1,2,2,0,1,2,4,2,2,4,1,4,3,2,2,0,1,2,0,1,2,1,2,1,1,0,0,3,2,2,2,0,0,0,0,0,1,3,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0
does not,24,24,14,16,14,8,4,4,50,3,9,8,5,4,6,1,7,1,2,1,3,0,4,4,2,5,2,2,1,1,3,1,5,2,5,4,3,1,4,1,1,1,3,2,2,0,0,5,2,2,0,1,0,5,0,2,0,2,2,0,1,0,1,2,0,2,0,0,0,1,2,2,2,0,2,1,0,1,2,1,1,1,1,1,0,1,0,1,2,0,1,1,0,2,1,1,2,1,0,0,1,1,0,0,0,0
operating system,24,12,2,9,9,10,7,9,3,49,3,0,2,6,0,3,2,1,4,4,0,3,2,0,23,2,3,1,0,0,3,9,0,0,0,0,1,6,1,0,0,1,0,5,0,0,3,0,2,4,0,1,0,0,0,0,2,0,12,0,0,0,2,1,0,0,1,2,0,1,2,3,10,0,5,0,3,0,0,1,2,3,2,0,0,0,5,0,1,0,0,6,1,1,0,0,0,2,2,2,0,0,0,0,0,0
sensitive information,28,13,13,8,15,2,8,7,9,3,43,4,6,7,2,5,4,6,1,3,4,2,1,2,0,3,2,2,2,2,1,0,3,0,2,2,4,1,2,2,1,5,2,0,4,0,2,1,0,0,0,1,1,1,1,1,1,3,0,0,0,0,1,1,1,0,0,6,1,1,4,0,0,0,0,1,0,0,1,0,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
the victim,16,22,14,19,11,8,6,4,8,0,4,45,1,3,5,3,0,3,5,2,5,2,1,4,0,1,1,1,0,0,0,0,0,3,3,4,0,2,1,3,0,0,3,0,3,0,2,0,0,0,0,1,0,2,1,0,2,1,0,2,0,0,2,4,2,5,0,1,1,1,2,2,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,3,0,0,1,0,2,3,1,0,0,1,1,0,0,0,0
attempt to,22,8,12,7,15,8,1,4,5,2,6,1,34,1,2,1,3,2,0,0,1,0,5,2,0,4,0,2,2,2,3,3,3,0,2,2,1,1,1,0,2,1,0,1,1,3,0,0,3,1,0,0,0,1,1,2,0,6,0,0,2,2,1,0,1,1,2,3,1,1,2,0,0,0,0,1,3,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
information about,19,7,7,8,15,5,4,5,4,6,7,3,1,32,2,0,2,0,9,6,3,0,3,1,3,2,1,1,2,2,0,2,1,0,1,2,0,3,0,1,2,0,1,4,2,0,0,1,0,4,0,1,1,0,0,0,0,2,1,0,1,0,2,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
attack pattern,9,14,24,11,9,5,4,1,6,0,2,5,2,2,29,1,5,0,0,1,0,2,0,21,0,2,2,1,1,1,1,0,2,3,1,1,1,0,2,0,0,1,0,0,2,1,1,2,1,0,3,2,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
result in,22,9,6,6,8,7,7,6,1,3,5,3,1,0,1,32,1,3,2,2,0,5,1,1,1,2,0,0,2,2,1,1,0,1,0,0,1,2,3,1,2,5,0,0,3,0,2,1,3,0,1,0,0,0,2,3,1,1,0,0,2,2,0,1,1,0,1,3,1,1,1,1,0,0,0,3,0,1,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
differs from,12,10,17,7,7,7,6,1,7,2,4,0,3,2,5,1,22,1,0,2,1,2,1,4,1,2,4,3,1,1,4,1,14,0,2,0,2,1,1,0,0,3,1,0,0,2,1,3,4,0,0,1,0,0,1,2,1,1,1,2,0,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this type of attack,20,6,3,9,9,3,3,30,1,1,6,3,2,0,0,3,1,30,1,0,2,1,1,0,0,2,1,0,0,0,2,1,1,2,0,0,1,2,3,6,0,1,1,0,0,0,0,2,1,0,1,2,1,1,2,1,0,0,0,3,0,1,1,0,2,3,0,2,0,1,2,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
target system,20,4,4,7,14,5,5,4,2,4,1,5,0,9,0,2,0,1,30,5,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,2,0,0,1,1,0,0,0,1,3,0,0,0,1,0,0,2,4,1,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
an adversary exploits,32,1,1,1,16,3,3,0,1,4,3,2,0,6,1,2,2,0,5,32,2,2,1,0,0,0,13,3,1,1,2,0,0,2,1,0,4,1,0,1,0,0,2,0,1,1,1,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
the purpose of,14,16,8,8,8,6,4,4,3,0,4,5,1,3,0,0,1,2,0,2,28,0,1,0,0,2,3,1,2,2,1,1,1,0,5,0,2,2,0,0,0,3,1,0,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arbitrary code,8,6,8,7,4,7,4,2,0,3,2,2,0,0,2,5,2,1,0,2,0,22,0,2,0,0,1,0,3,3,2,0,0,1,0,2,1,0,4,1,3,2,0,0,0,1,10,1,1,0,0,0,1,2,2,0,10,0,0,0,3,0,0,1,1,0,0,0,0,3,0,1,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
adversary uses,23,4,3,4,12,4,2,5,4,2,1,1,5,3,0,1,1,1,1,1,1,0,26,0,1,1,0,2,0,0,1,8,0,1,2,2,0,2,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,2,4,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
this attack pattern,7,8,21,9,7,3,3,0,4,0,2,4,2,1,21,1,4,0,0,0,0,2,0,21,0,1,1,1,1,1,0,0,1,1,1,1,1,0,2,0,0,1,0,0,2,0,1,1,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
operating systems,8,6,0,5,2,5,3,5,2,23,0,0,0,3,0,1,1,0,2,0,0,0,1,0,23,1,0,1,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,4,0,3,0,0,0,0,2,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0
as well as,12,8,8,8,5,7,3,5,5,2,3,1,4,2,2,2,2,2,2,0,2,0,1,1,1,22,0,1,0,0,2,0,2,1,1,0,1,3,0,1,0,1,0,2,1,1,0,1,1,2,2,2,0,1,0,1,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
a weakness in,15,10,5,4,7,2,7,1,2,3,2,1,0,1,2,0,4,1,0,13,3,1,0,1,0,0,23,2,1,1,3,0,2,1,1,0,4,1,1,0,0,1,1,0,0,2,1,1,1,0,0,1,0,1,2,1,1,0,0,3,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
based on,11,11,8,9,7,3,8,1,2,1,2,1,2,1,1,0,3,0,0,3,1,0,2,1,1,1,2,22,1,1,0,2,2,1,0,3,1,1,0,1,0,0,4,1,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,1,2,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
denial of service,6,7,7,4,3,1,2,3,1,0,2,0,2,2,1,2,1,0,0,1,2,3,0,1,0,0,1,1,18,18,0,0,0,1,2,2,2,0,1,1,5,0,0,0,0,1,2,0,1,0,1,1,2,1,0,2,2,1,0,0,4,2,0,1,2,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denial of,6,7,7,4,3,1,2,3,1,0,2,0,2,2,1,2,1,0,0,1,2,3,0,1,0,0,1,1,18,18,0,0,0,1,2,2,2,0,1,1,5,0,0,0,0,1,2,0,1,0,1,1,2,1,0,2,2,1,0,0,4,2,0,1,2,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attempts to,10,6,6,6,6,4,2,4,3,3,1,0,3,0,1,1,4,2,1,2,1,2,1,0,0,2,3,0,0,0,20,0,4,3,1,0,0,1,1,1,0,3,2,0,1,1,1,1,2,0,0,1,0,0,3,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
closed port,13,5,0,5,4,2,2,5,1,9,0,0,3,2,0,1,1,1,1,0,1,0,8,0,7,0,0,2,0,0,0,15,0,0,1,2,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,0,0,0,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
this attack differs from,8,6,14,5,7,4,3,1,5,0,3,0,3,1,2,0,14,1,0,0,1,0,0,1,0,2,2,2,0,0,4,0,14,0,1,0,1,0,0,0,0,3,1,0,0,2,0,2,3,0,0,1,0,0,1,2,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web server,6,7,6,5,3,4,3,3,2,0,0,3,0,0,3,1,0,2,0,2,0,1,1,1,0,1,1,1,1,1,3,0,0,18,1,0,0,2,0,3,1,0,4,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1,1,0,0,0,2,0,3,1,1,0,0,0,1,0,0,0,0,0,5,0,2,0,2,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
rather than,7,13,6,7,5,3,2,2,5,0,2,3,2,1,1,0,2,0,0,1,5,0,2,1,0,1,1,0,2,2,1,1,1,1,19,0,1,0,4,1,0,1,1,0,2,2,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for instance,3,10,9,9,3,5,4,3,4,0,2,4,2,2,1,0,0,0,1,0,0,2,2,1,0,0,0,3,2,2,0,2,0,0,0,16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0
access control,9,9,6,6,3,5,4,1,3,1,4,0,1,0,1,1,2,1,0,4,2,1,0,1,0,1,4,1,2,2,0,0,1,0,1,0,22,0,1,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error message,9,3,2,6,3,1,3,4,1,6,1,2,1,3,0,2,1,2,2,1,2,0,2,0,5,3,1,1,0,0,1,6,0,2,0,1,0,13,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,6,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
buffer overflow,1,12,6,8,0,3,3,3,4,1,2,1,1,0,2,3,1,3,0,0,0,4,0,2,0,0,1,0,1,1,1,0,0,0,4,0,1,0,18,0,0,1,0,0,0,0,4,4,0,0,2,0,1,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web application,8,9,3,4,2,7,2,7,1,0,2,3,0,1,0,1,0,6,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,3,1,0,2,0,0,18,1,0,1,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
web service,6,3,8,4,1,4,1,3,1,0,1,0,2,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,5,5,0,0,0,1,0,1,0,0,0,1,12,0,0,0,0,1,1,0,2,0,0,0,2,0,0,1,1,1,0,0,9,2,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
target application,5,10,7,5,3,5,2,2,1,1,5,0,1,0,1,5,3,1,0,0,3,2,0,1,0,1,1,0,0,0,3,0,3,0,1,0,0,1,1,0,0,15,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web browser,6,7,5,6,4,3,6,1,3,0,2,3,0,1,0,0,1,1,0,2,1,0,1,0,0,0,1,4,0,0,2,0,1,4,1,0,0,1,0,1,0,0,15,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
engages in,16,1,0,1,5,6,3,3,2,5,0,0,1,4,0,0,0,0,2,0,0,0,0,0,4,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17,2,0,0,1,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social engineering,13,4,3,3,11,2,1,0,2,0,4,3,1,2,2,3,0,0,2,1,3,0,5,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,18,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gain access to,5,12,6,8,3,6,1,0,0,0,0,0,3,0,1,0,2,0,0,1,1,1,0,0,0,1,2,0,1,1,1,0,2,1,2,0,2,0,0,2,1,1,1,0,0,19,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
execute arbitrary,2,4,5,4,3,4,4,1,0,3,2,2,0,0,1,2,1,0,0,1,0,10,0,1,0,0,1,0,2,2,1,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,12,1,0,0,0,0,0,2,1,0,10,0,0,0,1,0,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rely on,4,9,5,9,1,4,2,3,5,0,1,0,0,1,2,1,3,2,2,0,0,1,1,1,0,1,1,0,0,0,1,0,2,0,3,0,0,0,4,1,0,0,0,1,0,1,1,13,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
legitimate users,11,1,7,2,4,2,3,2,2,2,0,0,3,0,1,3,4,1,0,0,0,1,0,1,0,1,1,0,1,1,2,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,12,0,0,0,0,0,0,3,0,1,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
