,google chrome,access control,web server,windows xp,cisco ios,microsoft windows xp,sql server,ibm websphere,ftp server,cisco unified,microsoft edge,enterprise edition,apple safari,path traversal,user interface,ibm tivoli,ibm rational,access point,memory allocation,web browser,private key,small business,management console,internet security,data center,ip phone,community edition,windows nt,virtual machine,media player,microsoft word,open source,cisco prime,access points,rest api,spoofing vulnerability,web services,business intelligence,microsoft exchange,lifecycle management,apache tomcat,mail server,virtual appliance,email address,graphics driver,dll hijacking,proxy server,word viewer,control panel,active directory,password reset,remote access,ssl vpn,file transfer,ip phones,tftp server,photo gallery,data store,cisco aironet,key exchange,adobe photoshop,standard edition,visual studio,vpn client,check point,address book,adobe coldfusion,stored procedure,named pipe,emc documentum,personal firewall,srx series,file sharing,pdf reader,digital signature,access control lists,blind sql injection,search engine,serial number,password manager,integrity check,dialog box,ip cameras,phone number,secure boot,download manager,license manager,feature pack,audit log,user registration,outlook express,router advertisement,queue manager,vmware ace,certificate authority,base station,stack exhaustion,control center,web application firewall,spring framework,openid connect,mx series,spring security,huawei honor,zend framework,crystal reports,setup wizard,high availability,knowledge base,link layer,task scheduler,import export,xml rpc,tcp ip,net framework,ibm db2,ssl tls,xp sp2,pl sql,ethernet ip,win32k information disclosure vulnerability
google chrome,2436,3,5,5,0,1,0,0,0,0,3,0,16,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access control,3,1687,10,3,23,2,0,4,3,11,0,63,1,2,11,0,0,6,0,1,7,1,4,0,6,1,15,0,1,1,0,2,7,5,7,0,1,0,1,0,2,1,3,5,11,0,1,0,1,2,4,10,3,0,1,0,0,2,3,0,0,3,0,2,0,0,0,0,2,0,0,0,1,0,0,30,0,2,5,1,0,0,3,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web server,5,10,1348,8,6,4,1,3,1,10,0,8,14,6,3,1,2,3,1,16,5,2,2,0,1,9,1,2,1,2,0,0,4,0,0,0,1,1,0,0,3,0,6,0,0,0,2,0,3,1,1,0,3,0,2,0,2,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,13,0,0,0,0,2,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
windows xp,5,3,8,794,0,488,11,0,1,0,0,2,7,1,1,0,0,0,13,1,1,1,1,11,0,0,0,22,0,12,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,7,0,5,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,2,0,2,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cisco ios,0,23,6,0,881,0,0,0,4,15,0,0,0,1,15,0,0,20,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,19,3,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,1,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
microsoft windows xp,1,2,4,488,0,488,1,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,1,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sql server,0,0,1,11,0,1,858,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibm websphere,0,4,3,0,0,0,0,721,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,24,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,16,0,0,0,0,0,1,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ftp server,0,3,1,1,4,0,0,0,564,1,0,1,1,3,0,0,0,4,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,61,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cisco unified,0,11,10,0,15,0,0,0,1,532,0,0,0,6,2,0,0,1,1,4,4,0,0,0,1,33,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft edge,3,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enterprise edition,0,63,8,2,0,1,0,0,1,0,0,431,0,0,2,0,1,0,1,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple safari,16,1,14,7,0,0,0,0,1,0,0,0,532,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
path traversal,0,2,6,1,1,0,0,0,3,6,0,0,0,522,5,0,0,0,0,0,0,1,2,0,9,2,3,0,0,0,0,1,1,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user interface,3,11,3,1,15,0,0,1,0,2,0,2,4,5,480,3,0,1,0,2,0,1,2,0,2,1,0,0,1,0,0,0,5,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibm tivoli,0,0,1,0,0,0,4,1,0,0,0,0,0,0,3,401,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,2,0,0,3,4,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibm rational,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,333,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access point,0,6,3,0,20,0,0,0,4,1,0,0,0,0,1,0,0,217,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memory allocation,5,0,1,13,2,9,2,0,0,1,0,1,1,0,0,0,0,0,325,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web browser,1,1,16,1,2,0,0,0,2,4,0,0,1,0,2,0,3,1,0,276,2,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
private key,0,7,5,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,2,261,0,2,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
small business,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,260,5,5,2,9,0,1,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
management console,0,4,2,1,0,1,0,0,3,0,0,0,0,2,2,3,0,0,0,0,2,5,254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
internet security,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,220,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data center,0,6,1,0,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,1,0,2,1,7,209,0,0,0,1,0,0,0,10,0,11,0,0,0,9,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip phone,0,1,9,0,0,0,0,0,0,33,0,0,0,2,1,0,0,1,0,1,0,9,0,0,0,156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
community edition,0,15,1,0,0,0,0,1,0,0,0,56,0,3,0,0,0,0,0,0,2,0,0,0,0,0,178,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
windows nt,0,0,2,22,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
virtual machine,0,1,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,2,0,235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media player,2,1,2,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft word,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
open source,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cisco prime,0,7,4,0,0,0,0,0,0,2,0,0,0,1,5,2,0,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,193,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
access points,0,5,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,85,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rest api,0,7,0,0,3,0,3,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,11,0,1,0,1,0,0,0,1,0,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
