,operating system,operating systems,sensitive information,closed port,arbitrary code,error message,web server,web application,access control,web service,malicious script,remote host,web browser,execute arbitrary code,web services,buffer overflow,icmp error message,takes advantage of,error messages,http request,ip address,input validation,social engineering,supply chain,legitimate users,vulnerable web,sequence number,http get,unauthorized access,closed ports,client side,malicious logic,sql injection,domain name,icmp type,cross domain,brute force,credential prompt,cross site scripting,rfc 793
operating system,49,23,3,9,3,6,0,0,1,0,0,5,0,2,0,1,5,0,3,0,2,0,0,0,2,0,6,0,0,2,0,1,1,1,2,0,0,2,0,0
operating systems,23,23,0,7,0,5,0,0,0,0,0,4,0,0,0,0,4,0,2,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0
sensitive information,3,0,43,0,2,1,0,2,4,1,0,0,2,1,0,2,0,1,1,0,1,0,4,1,0,0,0,1,1,0,0,0,1,0,0,2,0,2,0,0
closed port,9,7,0,15,0,6,0,0,0,0,0,2,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
arbitrary code,3,0,2,0,22,0,1,1,1,3,0,0,0,10,3,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
error message,6,5,1,6,0,13,2,0,0,0,0,2,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
web server,0,0,0,0,1,2,18,3,0,1,3,1,4,0,1,0,0,0,0,5,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0
web application,0,0,2,0,1,0,3,18,2,1,4,0,1,0,0,0,0,1,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
access control,1,0,4,0,1,0,0,2,22,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
web service,0,0,1,0,3,0,1,1,0,12,0,0,0,1,9,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
malicious script,0,0,0,0,0,0,3,4,0,0,9,2,3,0,0,0,0,0,0,2,1,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
remote host,5,4,0,2,0,2,1,0,0,0,2,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
web browser,0,0,2,0,0,1,4,1,0,0,3,1,15,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
execute arbitrary code,2,0,1,0,10,0,0,0,0,1,0,0,0,10,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web services,0,0,0,0,3,0,1,0,0,9,0,0,0,1,9,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
buffer overflow,1,0,2,0,4,0,0,0,1,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
icmp error message,5,4,0,5,0,5,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
takes advantage of,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
error messages,3,2,1,3,0,6,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
http request,0,0,0,0,0,0,5,1,1,1,2,0,1,0,1,0,0,0,0,7,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
ip address,2,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
input validation,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social engineering,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supply chain,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
legitimate users,2,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vulnerable web,0,0,0,0,0,0,2,4,0,0,4,0,1,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sequence number,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
http get,0,0,1,0,0,0,2,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0
unauthorized access,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
closed ports,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
client side,0,0,0,0,0,1,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0
malicious logic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
sql injection,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
domain name,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
icmp type,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
cross domain,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0
brute force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
credential prompt,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cross site scripting,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rfc 793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
